"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.446322875E0,2.524310350E-1,5.859127641E-2,2.011714727E-1
3.456255875E0,2.173734307E-1,5.314058810E-2,2.331597656E-1
3.466187875E0,1.346772313E-1,2.744376659E-2,2.246874273E-1
3.476120875E0,3.431338817E-3,-1.495082863E-2,1.731539220E-1
3.486052875E0,-1.578973532E-1,-6.141023338E-2,9.024752676E-2
3.495985875E0,-3.390894830E-1,-1.142548025E-1,-5.729869939E-3
3.505918875E0,-5.161031485E-1,-1.629780531E-1,-9.903451055E-2
3.515850875E0,-6.573401690E-1,-1.876147091E-1,-1.720006019E-1
3.525783875E0,-7.320703268E-1,-1.774529070E-1,-2.188999057E-1
3.535715875E0,-7.173603773E-1,-1.314633042E-1,-2.551679015E-1
3.545648875E0,-6.057222486E-1,-5.468935519E-2,-2.801409662E-1
3.555581875E0,-4.126920402E-1,3.195818886E-2,-2.850201428E-1
3.565513875E0,-1.778718829E-1,8.458321542E-2,-2.682666183E-1
3.575446875E0,3.884605691E-2,1.060735956E-1,-2.388386875E-1
3.585378875E0,1.763831377E-1,9.185231477E-2,-2.124078870E-1
3.595311875E0,2.139811069E-1,4.301952943E-2,-1.896357238E-1
3.605243875E0,1.607297063E-1,-1.503388304E-2,-1.837830395E-1
3.615176875E0,5.286794901E-2,-6.084557623E-2,-1.898832768E-1
3.625109875E0,-7.163040340E-2,-7.751250267E-2,-2.127085328E-1
3.635041875E0,-1.629560590E-1,-7.044792920E-2,-2.355624437E-1
3.644974875E0,-1.856451780E-1,-3.398200125E-2,-2.561038136E-1
3.654906875E0,-1.439515352E-1,4.803741351E-3,-2.749771178E-1
3.664839875E0,-5.595318601E-2,4.070314020E-2,-2.889683843E-1
3.674772875E0,4.849599302E-2,5.718144774E-2,-2.965125740E-1
3.684704875E0,1.465381682E-1,6.218099222E-2,-3.028829396E-1
3.694637875E0,2.232476026E-1,4.921166599E-2,-3.008230031E-1
3.704569875E0,2.716825604E-1,1.747764647E-2,-2.986702323E-1
3.714502875E0,2.919130027E-1,-1.202751324E-2,-2.934403121E-1
